,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo)
80,48.1,15.1,209.0,5500.0,8.45738,-26.22664
81,50.5,19.6,201.0,4050.0,9.8059,-24.7294
82,43.5,15.2,213.0,4650.0,8.21634,-26.11046
83,36.2,17.3,187.0,3300.0,8.90723,-26.30037
84,48.8,16.2,222.0,6000.0,8.33825,-25.88547
85,44.1,18.0,210.0,4000.0,9.10702,-26.01363
86,49.2,18.2,195.0,4400.0,9.27158,-24.64335
87,48.5,15.0,219.0,4850.0,8.10231,-26.18763
88,37.7,19.8,198.0,3500.0,9.11066,-26.42563
89,50.2,14.3,218.0,5700.0,7.8962,-25.37746
90,51.7,20.3,194.0,3775.0,8.68747,-24.38751
91,38.2,18.1,185.0,3950.0,8.43423,-25.22664
92,36.3,19.5,190.0,3800.0,8.57087,-26.22227
93,36.2,17.2,187.0,3150.0,9.04296,-26.19444
94,43.3,13.4,209.0,4400.0,8.13643,-25.32176
95,50.2,18.8,202.0,3800.0,9.74492,-24.404
96,36.0,17.1,187.0,3700.0,8.93465,-26.07081
97,38.9,17.8,181.0,3625.0,9.18718,-25.21799
98,38.2,20.0,190.0,3900.0,9.59245,-25.70711
99,46.5,14.5,213.0,4400.0,7.90436,-25.3947
100,39.6,17.2,196.0,3550.0,8.33524,-26.55351
101,36.2,16.1,187.0,3550.0,7.82381,-26.51382
102,52.0,18.1,201.0,4050.0,9.0233,-24.38933
103,49.9,16.1,213.0,5400.0,8.3639,-26.15531
104,45.5,14.5,212.0,4750.0,8.15566,-26.22848
105,49.0,19.6,212.0,4300.0,9.34089,-24.45189
106,51.1,16.5,225.0,5250.0,8.2066,-26.36863
107,40.1,18.9,188.0,4300.0,8.51362,-26.55602
108,45.1,14.5,215.0,5000.0,7.6322,-25.46569
109,37.8,18.3,174.0,3400.0,8.73762,-25.09383
110,35.7,17.0,189.0,3350.0,8.96436,-23.90309
111,49.1,14.8,220.0,5150.0,7.89744,-26.63405
112,39.3,20.6,190.0,3650.0,8.66496,-25.29805
113,46.2,14.1,217.0,4375.0,8.30231,-25.96013
114,35.6,17.5,191.0,3175.0,8.75984,-25.97696
115,37.2,18.1,178.0,3900.0,9.72764,-25.0102
116,42.2,18.5,180.0,3550.0,8.04787,-25.49523
117,38.3,19.2,189.0,3950.0,9.07826,-26.12417
118,45.5,17.0,196.0,3500.0,9.36493,-24.66259
119,46.9,14.6,222.0,4875.0,7.8881,-26.04726
120,46.3,15.8,215.0,5050.0,7.90971,-25.38157
121,50.0,16.3,230.0,5700.0,8.14756,-25.39369
122,40.6,18.6,183.0,3550.0,8.93997,-25.36288
123,46.5,14.8,217.0,5200.0,8.58487,-26.5929
124,48.6,16.0,230.0,5800.0,8.5964,-26.71199
125,46.2,17.5,187.0,3650.0,9.61734,-24.66188
126,44.9,13.8,212.0,4750.0,8.11238,-26.20372
127,41.1,18.1,205.0,4300.0,8.77018,-25.83352
128,37.6,17.0,185.0,3600.0,8.58063,-26.21569
129,36.7,19.3,193.0,3450.0,8.76651,-25.32426
130,34.4,18.4,184.0,3325.0,8.47827,-25.23319
131,42.7,18.3,196.0,4075.0,8.91434,-26.42018
132,45.8,14.6,210.0,4200.0,7.79958,-25.62618
133,40.3,18.5,196.0,4350.0,8.39459,-26.01152
134,42.5,20.7,197.0,4500.0,8.67538,-25.13993
135,50.0,15.3,220.0,5550.0,8.30515,-25.19017
136,41.7,14.7,210.0,4700.0,8.12311,-26.44815
137,41.8,19.4,198.0,4450.0,8.86853,-26.06209
138,35.0,17.9,190.0,3450.0,8.19539,-26.17213
139,37.7,18.7,180.0,3600.0,8.66271,-25.0639
140,45.9,17.1,190.0,3575.0,9.12277,-24.90024
141,41.3,21.1,195.0,4400.0,8.74802,-26.37809
142,49.5,16.2,229.0,5800.0,8.49854,-26.74809
143,49.1,15.0,228.0,5500.0,8.65914,-25.79203
144,54.3,15.7,231.0,5650.0,8.49662,-26.84166
145,47.2,13.7,214.0,4925.0,7.99184,-26.20538
146,38.1,17.6,187.0,3425.0,8.717,-25.77951
147,44.0,13.6,208.0,4350.0,8.01979,-26.68311
148,45.8,18.9,197.0,4150.0,8.18658,-26.45978
149,42.9,13.1,215.0,5000.0,7.68528,-25.39181
150,50.4,15.3,224.0,5550.0,8.74647,-26.79846
151,40.6,17.2,187.0,3475.0,9.23408,-26.01549
152,50.1,17.9,190.0,3400.0,9.46819,-24.45721
153,50.5,15.9,225.0,5400.0,8.65803,-26.57585
154,46.2,14.5,209.0,4800.0,7.84057,-25.37899
155,44.9,13.3,213.0,5100.0,8.45167,-26.89644
156,34.5,18.1,187.0,2900.0,8.41837,-26.54718
157,40.6,19.0,199.0,4000.0,9.22537,-25.60826
158,37.8,18.1,193.0,3750.0,8.97533,-26.03495
159,59.6,17.0,230.0,6050.0,7.76843,-25.6821
160,46.5,14.4,217.0,4900.0,8.48789,-26.83006
161,46.8,16.5,189.0,3650.0,9.65061,-24.48153
162,46.0,18.9,195.0,4150.0,8.47173,-24.29229
163,41.4,18.5,202.0,3875.0,9.59462,-25.42621
164,49.6,18.2,193.0,3775.0,9.4618,-24.70615
165,50.7,15.0,223.0,5550.0,8.63551,-26.74249
166,43.2,19.0,197.0,4775.0,9.31735,-25.45171
167,50.1,15.0,225.0,5000.0,8.50153,-26.61414
168,37.9,18.6,193.0,2925.0,9.02642,-25.86482
169,45.3,13.7,210.0,4300.0,8.37615,-26.72791
170,48.5,17.5,191.0,3400.0,9.42666,-24.26375
171,39.6,18.8,190.0,4600.0,9.49106,-24.10255
172,52.0,20.7,210.0,4800.0,9.43146,-24.6844
173,35.2,15.9,186.0,3050.0,8.81668,-25.95399
174,39.5,17.4,186.0,3800.0,8.94956,-24.69454
175,39.7,18.9,184.0,3550.0,8.85699,-25.80208
176,50.8,15.7,226.0,5200.0,8.27102,-26.11244
177,38.6,17.2,199.0,3750.0,8.77322,-26.48973
178,46.8,14.3,215.0,4850.0,8.41151,-26.13832
179,45.2,16.4,223.0,5950.0,8.19749,-26.65931
180,46.4,17.8,191.0,3700.0,9.37369,-24.52896
181,34.6,17.2,189.0,3200.0,7.69778,-26.5387
182,35.7,16.9,185.0,3150.0,8.96472,-26.40943
183,37.6,19.1,194.0,3750.0,9.108,-25.89677
184,38.1,18.6,190.0,3700.0,8.10277,-26.50086
185,50.4,15.7,222.0,5750.0,8.30166,-26.04117
186,46.5,17.9,192.0,3500.0,9.03935,-24.30229
187,50.2,18.7,198.0,3775.0,9.39305,-24.25255
188,39.5,16.7,178.0,3250.0,9.69756,-25.11223
189,50.8,18.5,201.0,4450.0,9.45827,-24.35575
190,48.7,15.1,222.0,5350.0,7.96491,-25.39587
191,51.3,18.2,197.0,3750.0,8.63701,-24.84059
192,51.3,19.2,193.0,3650.0,9.29078,-24.7557
193,53.5,19.9,205.0,4500.0,10.02544,-24.90816
194,32.1,15.5,188.0,3050.0,8.79787,-26.61075
195,49.8,15.9,229.0,5950.0,8.29226,-26.21019
196,45.2,14.8,212.0,5200.0,8.24246,-26.11969
197,45.0,15.4,220.0,5050.0,8.63488,-26.75621
198,55.8,19.8,207.0,4000.0,9.70465,-24.53494
199,40.8,18.9,208.0,4300.0,8.48204,-26.57941
200,36.8,18.5,193.0,3500.0,8.98705,-25.57647
201,46.4,15.0,216.0,4700.0,8.47938,-26.9547
202,44.5,14.7,214.0,4850.0,8.20106,-26.16524
203,37.7,16.0,183.0,3075.0,9.2151,-26.2253
204,39.6,18.1,186.0,4450.0,8.49915,-26.42406
205,45.3,13.8,208.0,4200.0,8.65015,-26.79053
206,38.5,17.9,190.0,3325.0,8.9846,-25.57956
207,35.9,16.6,190.0,3050.0,8.47781,-26.07821
208,46.6,14.2,210.0,4850.0,8.38289,-26.86352
209,50.0,15.9,224.0,5350.0,8.20042,-26.39677
210,42.0,19.5,200.0,4050.0,8.48095,-26.3146
211,38.6,17.0,188.0,2900.0,9.18021,-25.77264
212,46.2,14.4,214.0,4650.0,8.24253,-26.8154
213,47.5,14.0,212.0,4875.0,8.12691,-26.23613
214,42.3,21.2,191.0,4150.0,8.87988,-25.18543
215,36.4,17.1,184.0,2850.0,8.62623,-26.1165
216,47.5,14.2,209.0,4600.0,8.39299,-26.78733
217,39.7,17.9,193.0,4250.0,9.25769,-25.88798
218,39.2,21.1,196.0,4150.0,9.15308,-25.03469
219,50.9,19.1,196.0,3550.0,10.02372,-24.86594
220,43.2,16.6,187.0,2900.0,9.35416,-25.01185
221,46.6,17.8,193.0,3800.0,8.95063,-24.59897
222,44.4,17.3,219.0,5250.0,8.13746,-26.79093
223,45.7,17.0,195.0,3650.0,9.26715,-24.31912
224,37.6,19.3,181.0,3300.0,9.41131,-25.04169
225,36.5,18.0,182.0,3150.0,9.68933,-24.4228
226,37.0,16.5,185.0,3400.0,8.61651,-26.07021
227,50.9,17.9,196.0,3675.0,9.43684,-24.16566
228,48.4,14.4,203.0,4625.0,8.16582,-26.13971
229,52.5,15.6,221.0,5450.0,8.28601,-26.27573
230,47.5,15.0,218.0,4950.0,8.29671,-26.08547
231,46.1,18.2,178.0,3250.0,8.85664,-24.55644
232,45.2,13.8,215.0,4750.0,8.24694,-26.65359
233,49.4,15.8,216.0,4925.0,8.03624,-26.06594
234,47.6,18.3,195.0,3850.0,8.83502,-24.65859
235,38.1,16.5,198.0,3825.0,8.43951,-26.57563
236,45.2,16.6,191.0,3250.0,9.62357,-24.78984
237,42.6,13.7,213.0,4950.0,7.96935,-26.70968
238,38.8,17.6,191.0,3275.0,8.88098,-25.89741
239,43.2,14.5,208.0,4450.0,8.48367,-26.86485
240,35.1,19.4,193.0,4200.0,8.90002,-26.46254
241,39.5,17.8,188.0,3300.0,9.66523,-25.0602
242,46.7,17.9,195.0,3300.0,9.74144,-24.59467
243,43.3,14.0,208.0,4575.0,8.4207,-26.38092
244,51.0,18.8,203.0,4100.0,9.23196,-24.17282
245,50.5,15.2,216.0,5000.0,8.24691,-26.18466
246,39.6,17.7,186.0,3500.0,8.46616,-26.12989
247,45.7,17.3,193.0,3600.0,9.415,-24.805
248,53.4,15.8,219.0,5500.0,8.41017,-26.33867
249,43.2,18.5,192.0,4100.0,8.97025,-26.03679
250,42.9,17.6,196.0,4700.0,8.63259,-26.23027
251,33.1,16.1,178.0,2900.0,9.04218,-26.15775
252,50.8,17.3,228.0,5600.0,8.27428,-26.30019
253,48.4,16.3,220.0,5400.0,8.03659,-26.86127
254,47.7,15.0,216.0,4750.0,8.53018,-26.72751
255,50.0,15.2,218.0,5700.0,8.2554,-25.40075
256,38.7,19.0,195.0,3450.0,9.18528,-25.06691
257,42.5,17.3,187.0,3350.0,9.56534,-24.60882
258,50.5,15.9,222.0,5550.0,8.46894,-26.60436
259,44.5,15.7,217.0,4875.0,8.04111,-26.18444
260,51.4,19.0,201.0,3950.0,9.43782,-24.36202
261,39.0,17.1,191.0,3050.0,9.19031,-25.73722
262,36.5,16.6,181.0,2850.0,9.07878,-25.88156
263,54.2,20.8,201.0,4300.0,9.49283,-24.59996
